rank,company,city,state,industry,employees,score,tier,aide_target,angle,intent_topics,description,acct_num,score_intent,score_industry,score_ai,score_emp,score_acct
1,Click Bond Inc.,Carson City,Nevada,Manufacturing,589,68,S-Tier,YES,AI Infrastructure,Cloud Computing; Generative AI; Environmental Regulations; Databases; Autonomous Intelligence and Agentic AI; Fraud Protection; Compliance,"Click Bond, Inc. specializes in adhesive-bonded fasteners for various sectors including aerospace, defense, marine, automotive, rail, energy, and industrial markets. Their product offerings include rivetless nutplates, studs, standoffs, mounts, and adhesives, catering to applications such as cables, wiring, and structural components. The company serves a diverse clientele ranging from commercial and military aviation to automotive and green energy industries. With a global network of representatives, Click Bond aims to provide tailored fastening solutions to meet specific design challenges.",26692133,35,15,10,3,5
2,Ipsen Inc.,Boulogne-Billancourt,Ile-de-France,Manufacturing,5358,68,S-Tier,YES,AI Infrastructure,Generative AI; Fraud Protection; Business Intelligence; Environmental Regulations; Enterprise Resource Planning; Data Center Migration; Autonomous Intelligence and Agentic AI; Big Data Software,"Founded in 1929 and headquartered in Boulogne, France, Ipsen Pharma is a global biopharmaceutical group focused on specialty care. The Group develops and commercializes medicines in therapeutic areas including oncology, neuroscience, and rare diseases.",26722853,35,15,8,5,5
3,Valeo,Paris,Ile-de-France,Manufacturing,106100,66,S-Tier,YES,AI Infrastructure,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862,35,15,6,5,5
4,Valeo Climate Control,Paris,Ile-de-France,Manufacturing,106100,66,S-Tier,YES,AI Infrastructure,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862,35,15,6,5,5
5,Valeo Climate Control Corp.,Paris,Ile-de-France,Manufacturing,106100,66,S-Tier,YES,AI Infrastructure,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862,35,15,6,5,5
6,Valeo Electrical Systems Inc.,Paris,Ile-de-France,Manufacturing,106100,66,S-Tier,YES,AI Infrastructure,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862,35,15,6,5,5
7,Valeo Inc.,Paris,Ile-de-France,Manufacturing,106100,66,S-Tier,YES,AI Infrastructure,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862,35,15,6,5,5
8,Valeo Wiper Systems,Paris,Ile-de-France,Manufacturing,106100,66,S-Tier,YES,AI Infrastructure,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862,35,15,6,5,5
9,Cinergy Metronet Inc.,Evansville,Indiana,Telecommunications,3000,65,S-Tier,YES,AI Infrastructure,Enterprise Contact Center; End-to-End Encryption; Digital Transformation; Fraud Protection; Amazon Web Services (AWS); Capacity Planning; Energy Storage; Advanced Analytics; Autonomous Intelligence and Agentic AI; Compliance; Encryption; Generative AI; Advanced Threat Protection (ATP); Environmental Regulations; Enterprise Resource Planning; Business Analytics; App Analytics Companies; Artificial Intelligence,"Metronet is a customer-focused company providing cutting-edge fiber-optic telecommunication services, including high-speed Fiber Internet and full-featured Fiber Phone",357376263,35,15,6,4,5
10,Metronet,Evansville,Indiana,Telecommunications,3000,65,S-Tier,YES,AI Infrastructure,Enterprise Contact Center; End-to-End Encryption; Digital Transformation; Fraud Protection; Amazon Web Services (AWS); Environmental Regulations; Capacity Planning; Energy Storage; Autonomous Intelligence and Agentic AI; Advanced Analytics; Compliance; Encryption; Generative AI; Advanced Threat Protection (ATP); Enterprise Resource Planning; Business Analytics; App Analytics Companies; Artificial Intelligence,"Metronet is a customer-focused company providing cutting-edge fiber-optic telecommunication services, including high-speed Fiber Internet and full-featured Fiber Phone",357376263,35,15,6,4,5
