company,city,state,industry,employees,intent topics,description,acct #
1888 Mills LLC,,,,,,,
1st MidAmerica Credit Union,Bethalto,Illinois,Finance,164,,"1st MidAmerica Credit Union offers a range of financial products and services including savings accounts, loans, and retirement services. Their offerings cater to both individual and business clients, providing options such as vehicle loans, home equity loans, and business checking accounts. The credit union emphasizes member benefits, financial wellness, and community support. They also provide modern banking solutions like mobile and online banking, as well as video banking services.",1117130331
Aces Power Marketing,Carmel,Indiana,Business Services,260,Generative AI; Environmental Regulations,"ACES is a nationwide energy management company that assists clients in buying, selling, and managing energy efficiently while minimizing risk. Their clientele includes electric cooperatives, municipalities, independent power generators, and major financial institutions, representing significant energy loads and transactions. ACES operates as an agent for its clients, ensuring no conflicting commercial interests, and offers customizable energy management and risk management services. With a national scope and economies of scale, ACES provides quality services at reasonable costs across various energy markets.",856362
ACP CreativIT LLC,Buffalo Grove,Illinois,Business Services,196,Application Performance; Fraud Protection; Autonomous Intelligence and Agentic AI,"Arlington Computer Products creates IT solutions for small to midsize businesses, large enterprises, school districts, government agencies, and other organizations. Arlington Computer Products is headquartered in Buffalo Grove, Illinois.",7195997
Activ Financial Systems,Wheaton,Illinois,Finance,80,,"Options Technology is a leading provider of IT infrastructure specifically designed for the global financial sector. Their extensive range of services includes cloud-enabled managed services, security and compliance solutions, and tailored IT infrastructure products. The company primarily serves clients such as asset managers, hedge funds, private equity firms, and software providers. Options Technology is committed to transforming financial sector technology through innovative solutions like Atlas, a low latency network that supports modern financial demands.",1084675
Ada S Mckinley Community Services Inc.,Chicago,Illinois,Organizations,585,Enterprise Resource Planning; Capacity Planning,"Ada S. McKinley Community Services is dedicated to empowering, educating, and employing individuals to enhance lives and strengthen communities. Serving over 10,000 people annually across more than 70 locations, primarily in Illinois, the organization offers a range of services including child development, employment support, and mental health counseling. They provide essential resources such as college counseling, financial aid assistance, and job placement to help individuals achieve self-sufficiency. With a commitment to community investment, Ada S. McKinley has successfully placed over 75,000 individuals in colleges and universities and provided thousands of jobs and mental health interventions.",1182098
Adams-Columbia Electric Cooperative,Friendship,Wisconsin,"Energy, Utilities & Waste",90,,"Adams-Columbia Electric Cooperative is a community-focused electric cooperative dedicated to providing safe and reliable electricity to over 39,458 homes, businesses, farms, and schools across 12 central Wisconsin counties. The cooperative emphasizes honesty, integrity, and superior customer service while adhering to cooperative principles. In addition to electricity delivery, they offer various programs including energy solutions, safety tips, and financial assistance through loans and grants. Their mission is to support their members and the community through reliable service and engagement initiatives.",1281657
Adec Inc.,Bristol,Indiana,Organizations,345,,"Founded in 1952 in the state of Indiana, the ADEC is a charitable organization that advocates for and serves people with developmental and intellectual disabilities in Elkhart and St. Joseph Counties",1345934
Adler Planetarium,Chicago,Illinois,Hospitality,243,,"Adler Planetarium, located in Chicago, is America's first planetarium and serves as a premier resource for inspiring future space explorers. The planetarium offers a variety of exhibits, sky shows, and educational programs for all ages, including school field trips and teen workshops. It aims to engage the community through hands-on activities, immersive experiences, and online resources related to space science and astronomy. Adler Planetarium also provides opportunities for group visits, venue rentals, and donations to support its mission.",1034279
Advanced Business Group LLC,Mundelein,Illinois,Business Services,12,,"Advanced Business Group (ABG) specializes in providing computer support and network management services tailored for small- and mid-sized businesses in the Chicago area. Their offerings include managed services, network security, website hosting and design, and disaster recovery solutions. ABG aims to deliver enterprise-class technology in an accessible, reliable, and affordable manner. With a focus on integrating cutting-edge IT solutions, they ensure that businesses can efficiently meet their communication needs.",1136843754
Advanced Hro Solutions Inc.,Appleton,Wisconsin,Business Services,9,,"Advanced Hro Solutions Inc is a company that operates in the Custom Software & IT Services industry. It employs 5to9 people and has 1Mto5M of revenue. The company is headquartered in Appleton, Wisconsin.",1260244509
Aids Resource Center of Wisconsin Inc.,Milwaukee,Wisconsin,Healthcare Services,288,,"Vivent Health is a non-profit organization dedicated to supporting individuals affected by HIV/AIDS by providing high-quality care and a comprehensive range of social services. Their services include HIV testing, prevention efforts, medical care, dental care, and behavioral health support, all delivered in a safe and judgment-free environment. With a mission to eliminate the HIV epidemic, Vivent Health serves diverse communities and advocates for health equity and social justice. They welcome anyone seeking care, regardless of their background, and strive to help individuals live long, healthy lives.",2673192
AL Warren Oil,Hammond,Indiana,Retail,85,,"Al Warren Oil, Inc. is a leading supplier of bulk fuel and lubricants, serving businesses in Northern Illinois, North-Central Indiana, and Southern Wisconsin. The company offers a wide range of services including fuel delivery, tank installation, and fleet maintenance, aimed at enhancing performance and profitability for its clients. With over 75 years of experience, Al Warren Oil is committed to providing high-quality products and exceptional service, ensuring that clients can rely on them for their fueling and lubricant needs. Their focus on customer partnership and flexibility sets them apart in the industry.",3116909
Alarm Detection Systems Inc.,Aurora,Illinois,Business Services,379,Autonomous Intelligence and Agentic AI,"Alarm Detection Systems, Inc. (ADS) is a leading provider of commercial and residential security services, offering a comprehensive range of products including fire alarms, burglar alarms, video monitoring, and access control systems. The company serves a diverse clientele, including businesses, schools, healthcare facilities, and residential customers, primarily in the Midwest and Colorado regions. With a commitment to exceptional customer service and 24/7 monitoring, ADS ensures the safety and security of its clients' properties. Founded in 1968, ADS combines decades of experience with advanced technology to deliver reliable security solutions tailored to individual needs.",3919915
Alt & Witzig Engineering Inc.,Carmel,Indiana,Construction,131,Autonomous Intelligence and Agentic AI,"Alt & Witzig Engineering, Inc. is a company that specializes in construction. It offers construction inspection and materials testing, geotechnical, environmental, drilling, and ground penetrating radar. The company was founded in 1976 and is headquartered in Carmel, Indiana.",4361244
American Business Resources Corp.,Madison,Wisconsin,Business Services,116,File Sharing; Data Center Migration; Autonomous Intelligence and Agentic AI; Dropbox,"ABR Employment Services is a Workforce Solutions company that delivers a multitude of staffing and recruiting services through three operating divisions: ABR Employment Services, ABR Professional Search and Kinsa Group. The company is headquartered in Madison, WI and was founded in 1987.",363100
American Consulting Inc.,Indianapolis,Indiana,Construction,6,,"American Improvement Company has been providing quality exterior remodeling solutions to homeowners in Central Indiana for the past fifteen years. Their services include replacement windows, siding, and doors. The company prides itself on customer satisfaction, as evidenced by positive testimonials from clients. They offer free in-home estimates and utilize Energy Star products, ensuring energy efficiency in their home improvement projects.",353561672
American Health Information Management Association,Chicago,Illinois,Organizations,22,,"American Health Information Management Association is a company that operates in the Membership Organizations industry. It employs 20to49 people and has 1Mto5M of revenue. The company is headquartered in Chicago, Illinois.",1290255745
American Midwest Financial Corp.,Rochester,Indiana,Finance,132,Generative AI; Fraud Protection,"Founded in 1966, the First Federal Savings Bank has locations all over Northern Indiana and are considered to be a leading mortgage lender in Indiana. First Federal Savings Bank offers personal and business banking services, as well as lending, and investment services.",559641380
American Players Theatre of Wisconson Inc.,Spring Green,Wisconsin,Hospitality,77,Generative AI,"American Players Theatre is a professional theater company located in Spring Green, Wisconsin, known for its outdoor performances of classic and contemporary plays. The theater offers a variety of events, including play talks, tours, and educational programs aimed at engaging the community and enhancing the theater experience. Their intended clients include theater enthusiasts, students, and local residents looking for cultural entertainment. Additionally, APT provides dining options and special offers to enhance the visitor experience.",1884425
Ameriqual Packaging,,,,,,,
Anacostia Rail Holdings Company,Chicago,Illinois,Transportation,200,,Anacostia Rail Holdings is a holding company for operating short line railroads and related transportation equipment and services firms. Its subsidiaries are dedicated to providing outstanding customer service in a safe manner.Anacostia is one of the leaders in the development of modern short line railroads.,5821666
